Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Year,Height_in,Cluster
Idrees Bashir,S,Memphis,6-2,206.0,4.56,40.0,22.0,126.0,7.14,4.2,2001,74.0,0
Harold Blackmon,CB,Northwestern,5-11,210.0,4.54,37.0,17.0,121.0,7.03,4.28,2001,71.0,0
Derrick Blaylock,RB,Stephen F. Austin,5-10,194.0,4.36,35.5,18.0,119.0,7.05,4.09,2001,70.0,0
Sean Brewer,TE,San Jose State,6-4,255.0,4.73,36.0,14.0,117.0,7.37,4.18,2001,76.0,1
Kenny Bryant,CB,Jackson State,5-11,190.0,4.65,37.5,10.0,117.0,7.5,4.15,2001,71.0,0
Correll Buckhalter,RB,Nebraska,6-0,226.0,4.53,40.0,11.0,123.0,7.08,4.06,2001,72.0,0
Jerametrius Butler,CB,Kansas State,5-10,173.0,4.57,36.0,11.0,121.0,7.22,4.4,2001,70.0,0
Elliott Carson,TE,Vanderbilt,6-4,246.0,4.9,36.0,16.0,115.0,7.52,4.21,2001,76.0,1
Robert Carswell,S,Clemson,6-0,214.0,4.59,34.0,21.0,106.0,7.14,4.18,2001,72.0,1
Derek Combs,RB,Ohio State,6-0,193.0,4.42,35.0,8.0,120.0,6.96,4.07,2001,72.0,0
Rodney Crayton,CB,Auburn,5-8,178.0,4.6,35.5,13.0,118.0,7.25,4.4,2001,68.0,0
Corey Crume,RB,East. Kentucky,5-11,225.0,4.76,37.0,15.0,115.0,7.36,4.32,2001,71.0,1
Alge Crumpler,TE,North Carolina,6-2,266.0,4.76,34.0,22.0,112.0,7.38,4.43,2001,74.0,1
Dauntae' Finger,TE,North Carolina,6-4,262.0,5.09,33.5,15.0,103.0,7.95,4.59,2001,76.0,1
Curtis Fuller,S,TCU,5-10,186.0,4.45,36.0,18.0,114.0,7.2,4.21,2001,70.0,0
Jamie Henderson,CB,Georgia,6-1,202.0,4.48,40.5,10.0,125.0,6.9,4.12,2001,73.0,0
Anthony Henry,CB,South Florida,6-1,198.0,4.6,41.0,15.0,126.0,6.9,4.2,2001,73.0,0
Renaldo Hill,CB,Michigan State,5-11,178.0,4.68,35.5,10.0,116.0,7.07,4.18,2001,71.0,0
Jabari Holloway,TE,Notre Dame,6-2,253.0,4.91,38.5,20.0,113.0,7.14,4.4,2001,74.0,1
Rashad Holman,CB,Louisville,5-11,186.0,4.58,42.0,6.0,129.0,7.09,3.85,2001,71.0,0
John Howell,S,Colorado State,6-0,204.0,4.64,37.0,14.0,121.0,6.87,4.12,2001,72.0,0
Michael Jameson,S,Texas A&M,5-11,186.0,4.5,34.5,9.0,118.0,7.13,4.2,2001,71.0,0
Ligarius Jennings,CB,Tennessee State,5-9,202.0,4.67,34.0,11.0,120.0,7.07,4.03,2001,69.0,0
Rudi Johnson,RB,Auburn,5-10,227.0,4.57,37.5,24.0,119.0,7.32,4.22,2001,70.0,0
Eric Kelly,CB,Kentucky,5-10,199.0,4.46,36.0,15.0,120.0,7.24,4.18,2001,70.0,0
Marlon McCree,S,Kentucky,5-11,197.0,4.62,38.0,10.0,117.0,7.36,4.1,2001,71.0,0
Shad Meier,TE,Kansas State,6-5,256.0,4.85,34.0,20.0,113.0,7.14,4.15,2001,77.0,1
Keon Moore,CB,Southern Miss,5-11,193.0,4.56,37.5,10.0,119.0,7.06,4.2,2001,71.0,0
Leonard Myers,CB,Miami (FL),5-10,190.0,4.65,37.0,13.0,120.0,7.21,4.16,2001,70.0,0
Brian Natkin,TE,Texas-El Paso,6-2,251.0,4.95,27.0,20.0,98.0,7.78,4.59,2001,74.0,1
