Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Year,Height_in,Cluster
Benjamin Watson,TE,Georgia,6-3,258.0,4.5,35.5,34.0,123.0,7.38,4.11,2004,75.0,1
Quintin Williams,S,Wake Forest,5-11,207.0,4.6,37.0,21.0,122.0,7.28,4.09,2004,71.0,0
Shaud Williams,RB,Alabama,5-7,193.0,4.73,34.0,15.0,114.0,7.01,4.15,2004,67.0,0
Kris Wilson,TE,Pittsburgh,6-2,248.0,4.62,35.0,24.0,119.0,6.88,4.1,2004,74.0,1
Quincy Wilson,RB,West Virginia,5-9,225.0,4.6,33.5,26.0,118.0,7.68,4.36,2004,69.0,1
Renaldo Works,RB,Oklahoma,6-0,222.0,4.7,30.5,21.0,115.0,7.25,4.09,2004,72.0,1
Dexter Wynn,CB,Colorado State,5-9,175.0,4.49,39.0,13.0,123.0,6.7,3.9,2004,69.0,0
J.J. Arrington,RB,California,5-9,214.0,4.4,35.0,18.0,121.0,6.81,4.1,2005,69.0,0
Billy Bajema,TE,Oklahoma State,6-5,261.0,4.74,31.5,16.0,113.0,7.05,4.25,2005,77.0,1
Adam Bergen,TE,Lehigh,6-4,265.0,4.78,38.0,25.0,121.0,7.11,4.1,2005,76.0,1
Justin Beriault,S,Ball State,6-3,204.0,4.52,39.5,14.0,132.0,6.92,3.8,2005,75.0,0
Atari Bigby,S,Central Florida,5-11,214.0,4.57,35.0,19.0,112.0,7.0,4.1,2005,71.0,0
DeCori Birmingham,RB,Arkansas,5-10,210.0,4.56,34.5,14.0,118.0,7.13,4.28,2005,70.0,0
Jamaal Brimmer,S,UNLV,6-1,216.0,4.8,32.0,16.0,113.0,7.78,4.63,2005,73.0,1
Nehemiah Broughton,RB,Citadel,5-11,250.0,4.59,30.0,25.0,108.0,7.54,4.28,2005,71.0,1
Ronnie Brown,RB,Auburn,6-0,233.0,4.43,34.0,18.0,117.0,7.1,4.08,2005,72.0,0
Brandon Browner,CB,Oregon State,6-3,221.0,4.63,36.5,13.0,123.0,7.2,4.24,2005,75.0,0
James Butler,S,Georgia Tech,6-2,213.0,4.51,40.5,16.0,127.0,7.1,3.98,2005,74.0,0
Jerome Carter,S,Florida State,5-11,220.0,4.47,35.0,21.0,121.0,7.18,4.04,2005,71.0,0
DeAndra Cobb,RB,Michigan State,5-10,196.0,4.49,34.0,17.0,118.0,7.13,4.25,2005,70.0,0
Nick Collins,CB,Bethune-Cookman,5-11,206.0,4.36,40.0,11.0,118.0,6.94,4.16,2005,71.0,0
Sean Considine,S,Iowa,6-0,212.0,4.5,37.0,19.0,117.0,7.09,3.92,2005,72.0,0
Atcheson Conway,S,Bowie State,5-10,219.0,4.9,32.0,14.0,108.0,7.38,4.1,2005,70.0,1
Markus Curry,CB,Michigan,5-11,181.0,4.59,35.0,12.0,117.0,7.04,3.89,2005,71.0,0
Joel Dreessen,TE,Colorado State,6-4,260.0,4.72,36.0,22.0,113.0,7.09,4.01,2005,76.0,1
Diamond Ferri,S,Syracuse,5-10,223.0,4.59,35.5,20.0,111.0,7.15,4.14,2005,70.0,0
Domonique Foxworth,CB,Maryland,5-11,184.0,4.34,41.0,14.0,125.0,6.78,3.89,2005,71.0,0
Aaron Francisco,S,BYU,6-2,211.0,4.74,35.0,17.0,113.0,6.96,4.07,2005,74.0,0
Lionel Gates,RB,Louisville,6-0,222.0,4.6,36.0,23.0,121.0,7.17,4.1,2005,72.0,0
Ryan Grant,RB,Notre Dame,6-1,215.0,4.43,33.5,17.0,115.0,7.08,4.12,2005,73.0,0
Kelly Griffeth,TE,Fort Hays State,6-5,284.0,4.9,28.0,21.0,103.0,7.25,4.27,2005,77.0,1
Matt Grootegoed,S,USC,5-11,218.0,4.76,31.5,22.0,111.0,7.17,4.26,2005,71.0,1
Jason Harmon,S,Michigan State,5-11,209.0,4.7,37.0,23.0,118.0,7.61,4.1,2005,71.0,1
Kelvin Hayden,CB,Illinois,5-10,197.0,4.45,34.0,17.0,111.0,6.87,3.9,2005,70.0,0
Noah Herron,RB,Northwestern,5-11,224.0,4.6,31.0,17.0,108.0,6.95,3.97,2005,71.0,0
Ellis Hobbs,CB,Iowa State,5-9,192.0,4.45,42.0,12.0,124.0,6.8,4.07,2005,69.0,0
Daven Holly,CB,Cincinnati,5-10,192.0,4.39,39.0,15.0,115.0,7.16,4.08,2005,70.0,0
Marlin Jackson,CB,Michigan,6-1,198.0,4.52,36.0,23.0,125.0,6.95,3.96,2005,73.0,0
Tony Jackson,TE,Iowa,6-2,266.0,4.75,33.0,23.0,113.0,7.5,4.48,2005,74.0,1
Brandon Jacobs,RB,Southern Illinois,6-4,267.0,4.56,37.0,19.0,118.0,7.53,4.46,2005,76.0,1
Dave Kashetta,TE,Boston Col.,6-3,247.0,4.87,35.5,17.0,113.0,7.34,4.34,2005,75.0,1
Chris McKenzie,CB,Arizona State,5-8,185.0,4.32,45.0,6.0,136.0,6.9,4.32,2005,68.0,0
T.A. McLendon,RB,North Carolina State,5-10,235.0,4.71,35.0,27.0,117.0,7.34,4.19,2005,70.0,1
Adrian McPherson,QB,Florida State,6-3,218.0,4.71,34.5,22.0,128.0,6.93,4.08,2005,75.0,0
Ryan Moats,RB,Louisiana Tech,5-8,210.0,4.46,36.0,19.0,117.0,7.22,4.1,2005,68.0,0
Vernand Morency,RB,Oklahoma State,5-10,212.0,4.66,33.5,19.0,108.0,7.02,4.12,2005,70.0,0
Karl Paymah,CB,Washington State,6-0,204.0,4.35,41.5,15.0,125.0,7.09,3.91,2005,72.0,0
Alvin Pearman,RB,Virginia,5-9,208.0,4.63,34.0,24.0,114.0,7.06,4.08,2005,69.0,0
Antonio Perkins,CB,Oklahoma,5-11,190.0,4.49,40.0,10.0,126.0,7.17,4.07,2005,71.0,0
Bobby Purify,RB,Colorado,6-0,210.0,4.67,33.5,15.0,116.0,7.22,4.13,2005,72.0,0
Lamont Reid,CB,North Carolina State,5-11,195.0,4.53,40.5,15.0,124.0,7.18,4.28,2005,71.0,0
Walter Reyes,RB,Syracuse,5-10,209.0,4.52,32.0,16.0,109.0,7.23,4.38,2005,70.0,1
Kerry Rhodes,S,Louisville,6-2,209.0,4.56,42.0,12.0,123.0,6.94,4.12,2005,74.0,0
Carlos Rogers,CB,Auburn,6-0,196.0,4.44,40.5,15.0,126.0,6.48,3.82,2005,72.0,0
Bo Scaife,TE,Texas,6-3,249.0,4.75,32.5,24.0,114.0,7.21,4.12,2005,75.0,1
Darren Sproles,RB,Kansas State,5-6,187.0,4.47,33.0,23.0,105.0,6.96,3.96,2005,66.0,0
Scott Starks,CB,Wisconsin,5-8,172.0,4.37,43.0,13.0,137.0,6.99,3.9,2005,68.0,0
Marviel Underwood,S,San Diego State,5-10,205.0,4.45,38.0,19.0,118.0,7.12,4.21,2005,70.0,0
Marquis Weeks,S,Virginia,5-10,216.0,4.56,36.5,23.0,120.0,7.46,3.89,2005,70.0,0
Cedrick Williams,CB,Kansas State,5-10,168.0,4.5,35.0,13.0,121.0,7.24,4.22,2005,70.0,0
Cadillac Williams,RB,Auburn,5-11,217.0,4.43,35.5,19.0,118.0,6.94,4.15,2005,71.0,0
Darrent Williams,CB,Oklahoma State,5-9,176.0,4.3,39.0,16.0,124.0,6.97,3.96,2005,69.0,0
Jerron Wishom,CB,Louisiana Tech,6-0,193.0,4.5,38.0,18.0,118.0,6.81,4.07,2005,72.0,0
Joseph Addai,RB,LSU,5-11,214.0,4.4,38.5,18.0,125.0,7.09,4.47,2006,71.0,0
Jason Allen,S,Tennessee,6-1,209.0,4.39,39.5,17.0,131.0,6.75,3.81,2006,73.0,0
Willie Andrews,S,Baylor,5-9,193.0,4.43,36.5,7.0,124.0,6.99,4.27,2006,69.0,0
Miles Austin,WR,Monmouth (NJ),6-2,215.0,4.47,40.5,21.0,123.0,7.09,4.14,2006,74.0,0
Mike Bell,RB,Arizona,6-0,221.0,4.6,31.5,19.0,112.0,7.16,4.21,2006,72.0,1
Antoine Bethea,S,Howard,5-11,203.0,4.39,36.5,19.0,127.0,6.99,4.11,2006,71.0,0
Damarius Bilbo,WR,Georgia Tech,6-2,214.0,4.7,36.5,19.0,115.0,6.9,4.18,2006,74.0,0
Darnell Bing,S,USC,6-2,227.0,4.53,34.0,17.0,120.0,7.25,4.07,2006,74.0,0
Darrell Brooks,S,Arizona,6-0,198.0,4.61,36.5,7.0,125.0,6.97,4.36,2006,72.0,0
Daniel Bullocks,S,Nebraska,6-0,212.0,4.38,38.0,18.0,124.0,6.91,4.16,2006,72.0,0
Brian Calhoun,RB,Wisconsin,5-9,201.0,4.57,31.5,18.0,124.0,7.05,4.2,2006,69.0,0
Marques Colston,WR,Hofstra,6-5,224.0,4.5,37.0,16.0,123.0,6.94,4.43,2006,77.0,0
Owen Daniels,TE,Wisconsin,6-3,253.0,4.65,34.5,23.0,114.0,6.87,4.1,2006,75.0,1
P.J. Daniels,RB,Georgia Tech,5-10,214.0,4.64,33.0,21.0,116.0,7.13,4.4,2006,70.0,1
Vernon Davis,TE,Maryland,6-3,254.0,4.38,42.0,33.0,128.0,7.0,4.17,2006,75.0,0
Charles Davis,TE,Purdue,6-5,263.0,4.87,31.5,27.0,108.0,7.53,4.37,2006,77.0,1
Tim Day,TE,Oregon,6-3,256.0,4.74,35.0,24.0,109.0,7.03,4.2,2006,75.0,1
Marcus Demps,S,San Diego State,6-0,198.0,4.7,31.0,17.0,117.0,6.91,4.09,2006,72.0,0
Chris Denney,WR,Nebraska-Omaha,6-3,224.0,4.65,33.0,13.0,110.0,7.02,4.33,2006,75.0,1
Reed Doughty,S,Northern Colorado,6-0,209.0,4.65,37.0,15.0,121.0,6.66,4.17,2006,72.0,0
Anthony Fasano,TE,Notre Dame,6-4,259.0,4.72,33.5,19.0,112.0,6.94,4.34,2006,76.0,1
Daniel Fells,TE,California-Davis,6-3,259.0,4.95,29.5,19.0,108.0,7.27,4.46,2006,75.0,1
Charles Gordon,CB,Kansas,5-10,183.0,4.6,35.5,12.0,115.0,6.95,4.2,2006,70.0,0
Cedric Griffin,S,Texas,6-0,199.0,4.51,35.5,17.0,125.0,6.84,4.1,2006,72.0,0
Chris Harrell,S,Penn State,6-0,209.0,4.7,40.5,15.0,119.0,7.02,4.12,2006,72.0,0
Jerome Harrison,RB,Washington State,5-9,201.0,4.47,34.5,19.0,124.0,6.77,4.07,2006,69.0,0
Matt Henshaw,TE,Florida State,6-4,248.0,4.73,29.0,16.0,111.0,7.44,4.44,2006,76.0,1
Jarvis Herring,S,Florida,5-11,207.0,4.85,36.5,15.0,116.0,7.34,4.23,2006,71.0,1
Cedric Humes,RB,Virginia Tech,6-1,227.0,4.62,30.5,18.0,106.0,7.07,4.22,2006,73.0,1
Tarvaris Jackson,QB,Arkansas,6-2,226.0,4.69,31.5,22.0,107.0,7.4,4.38,2006,74.0,1
Maurice Jones-Drew,RB,UCLA,5-7,207.0,4.39,36.0,18.0,116.0,7.08,4.38,2006,67.0,0
Johnathan Joseph,CB,South Carolina,5-11,193.0,4.31,37.0,15.0,123.0,6.92,4.23,2006,71.0,0
Jeff King,TE,Virginia Tech,6-5,245.0,4.83,32.5,21.0,109.0,6.99,4.09,2006,77.0,1
Joe Klopfenstein,TE,Colorado,6-6,255.0,4.63,36.0,27.0,112.0,7.39,4.21,2006,78.0,1
Marcedes Lewis,TE,UCLA,6-6,261.0,4.8,37.0,23.0,118.0,7.24,4.82,2006,78.0,1
Calvin Lowry,S,Penn State,5-11,200.0,4.54,36.0,15.0,120.0,7.16,4.2,2006,71.0,0
Wali Lundy,RB,Virginia,5-11,214.0,4.48,35.0,18.0,111.0,6.99,4.36,2006,71.0,0
Antonio Malone,CB,Toledo,6-0,200.0,4.59,34.0,10.0,111.0,7.05,4.1,2006,72.0,0
Danieal Manning,CB,Abilene Christian,5-11,202.0,4.48,39.0,17.0,123.0,7.23,4.07,2006,71.0,0
Richard Marshall,CB,Fresno State,5-11,189.0,4.42,37.0,12.0,129.0,6.65,4.16,2006,71.0,0
Derrick Martin,CB,Wyoming,5-10,202.0,4.5,40.0,17.0,127.0,6.72,3.95,2006,70.0,0
Wendell Mathis,RB,Fresno State,5-11,210.0,4.51,33.0,20.0,117.0,6.93,4.22,2006,71.0,0
DeMario Minter,CB,Georgia,5-11,190.0,4.52,38.5,10.0,131.0,6.87,4.1,2006,71.0,0
DonTrell Moore,RB,New Mexico,5-10,210.0,4.64,32.0,18.0,116.0,7.1,4.32,2006,70.0,0
Jerious Norwood,RB,Mississippi State,6-0,210.0,4.4,36.5,15.0,122.0,6.81,4.25,2006,72.0,0
Charlie Peprah,S,Alabama,5-11,206.0,4.66,37.5,15.0,119.0,6.81,4.09,2006,71.0,0
Jason Pociask,TE,Wisconsin,6-3,266.0,4.84,32.5,23.0,115.0,7.31,4.3,2006,75.0,1
Leonard Pope,TE,Georgia,6-8,258.0,4.62,37.5,22.0,118.0,7.47,4.67,2006,80.0,1
Derrick Ross,RB,Tarleton State,5-10,226.0,4.56,35.0,20.0,112.0,7.0,4.35,2006,70.0,0
Nate Salley,S,Ohio State,6-2,216.0,4.63,40.0,14.0,123.0,6.79,4.15,2006,74.0,0
Tony Scheffler,TE,West. Michigan,6-5,254.0,4.54,33.5,17.0,115.0,6.81,4.01,2006,77.0,1
Ko Simpson,S,South Carolina,6-1,209.0,4.45,40.5,11.0,122.0,7.09,4.17,2006,73.0,0
Anthony Smith,S,Syracuse,6-0,194.0,4.71,41.0,18.0,125.0,6.75,4.35,2006,72.0,0
Eric Smith,S,Michigan State,6-1,209.0,4.63,40.0,21.0,127.0,6.89,4.1,2006,73.0,0
Quinn Sypniewski,TE,Colorado,6-6,268.0,4.77,32.5,20.0,114.0,7.09,4.52,2006,78.0,1
David Thomas,TE,Texas,6-3,252.0,4.67,37.5,19.0,113.0,7.05,4.34,2006,75.0,1
Cooper Wallace,TE,Auburn,6-4,261.0,4.78,29.0,21.0,105.0,7.29,4.21,2006,76.0,1
Scott Ware,S,USC,6-1,218.0,4.7,37.0,15.0,115.0,7.05,4.25,2006,73.0,0
Leon Washington,RB,Florida State,5-8,201.0,4.42,32.5,17.0,105.0,6.94,4.37,2006,68.0,0
Todd Watkins,WR,BYU,6-2,202.0,4.4,36.0,15.0,118.0,7.13,4.24,2006,74.0,0
T.J. Williams,TE,North Carolina State,6-2,269.0,4.72,34.0,25.0,111.0,7.49,4.54,2006,74.0,1
Gerald Alexander,S,Boise State,6-0,210.0,4.51,41.0,15.0,124.0,7.24,4.21,2007,72.0,0
Michael Allan,TE,Whitworth,6-6,255.0,4.71,36.0,19.0,123.0,7.31,4.52,2007,78.0,1
Anthony Arline,CB,Baylor,6-2,199.0,4.43,34.5,12.0,124.0,7.02,4.46,2007,74.0,0
Reggie Ball,WR,Georgia Tech,5-11,203.0,4.67,30.0,15.0,112.0,6.9,4.19,2007,71.0,0
Fred Bennett,CB,South Carolina,6-1,196.0,4.46,38.5,17.0,125.0,6.67,4.3,2007,73.0,0
Tarell Brown,CB,Texas,5-11,190.0,4.45,33.5,17.0,111.0,7.0,4.37,2007,71.0,0
Eldra Buckley,RB,Tenn-Chattanooga,5-9,202.0,4.56,35.5,14.0,120.0,7.71,4.43,2007,69.0,0
Scott Chandler,TE,Iowa,6-7,270.0,4.78,30.0,16.0,111.0,7.26,4.32,2007,79.0,1
Daniel Coats,TE,BYU,6-3,257.0,4.94,30.0,34.0,111.0,7.07,4.43,2007,75.0,1
Michael Coe,CB,Arkansas,6-1,190.0,4.53,35.0,17.0,122.0,6.78,4.31,2007,73.0,0
Duane Coleman,CB,Clemson,5-9,199.0,4.57,35.5,18.0,120.0,7.18,4.51,2007,69.0,0
Craig Dahl,S,North Dakota State,6-2,216.0,4.55,35.0,17.0,122.0,6.69,4.26,2007,74.0,0
Kenneth Darby,RB,Alabama,5-10,211.0,4.75,30.0,19.0,108.0,7.25,4.53,2007,70.0,1
Eric Frampton,S,Washington State,5-11,204.0,4.61,34.5,10.0,122.0,6.84,4.17,2007,71.0,0
C.J. Gaddis,S,Clemson,5-11,203.0,4.45,36.5,20.0,121.0,7.28,4.3,2007,71.0,0
Josh Gattis,S,Wake Forest,6-1,206.0,4.51,34.5,22.0,121.0,6.72,4.27,2007,73.0,0
Dashon Goldson,S,Washington,6-2,205.0,4.6,34.5,12.0,115.0,7.37,4.46,2007,74.0,1
Michael Griffin,S,Texas,6-0,202.0,4.45,36.0,16.0,120.0,6.6,4.1,2007,72.0,0
Leon Hall,CB,Michigan,5-11,193.0,4.39,37.5,15.0,125.0,6.5,4.07,2007,71.0,0
Jonny Harline,TE,BYU,6-4,248.0,4.84,28.5,15.0,106.0,7.05,4.68,2007,76.0,1
Chris Henry,RB,Arizona,5-11,230.0,4.4,36.0,26.0,127.0,6.96,4.14,2007,71.0,0
Jonathan Holland,WR,Louisiana Tech,6-0,191.0,4.45,35.5,15.0,120.0,7.12,4.4,2007,72.0,0
Chris Houston,CB,Arkansas,5-10,185.0,4.32,36.0,27.0,122.0,6.94,4.12,2007,70.0,0
Dante Hughes,CB,California,5-10,190.0,4.56,28.5,16.0,114.0,7.28,4.43,2007,70.0,1
Nate Ilaoa,RB,Hawaii,5-9,245.0,4.77,30.0,25.0,103.0,7.1,4.42,2007,69.0,1
David Irons,CB,Auburn,5-10,190.0,4.44,29.5,11.0,111.0,7.18,4.3,2007,70.0,0
Brandon Jackson,RB,Nebraska,5-10,210.0,4.54,37.0,21.0,122.0,7.0,4.14,2007,70.0,0
Tanard Jackson,S,Syracuse,6-0,200.0,4.52,32.5,12.0,121.0,6.89,4.28,2007,72.0,0
Drisan James,WR,Boise State,6-0,193.0,4.52,39.0,14.0,126.0,7.09,4.39,2007,72.0,0
Michael Johnson,S,Arizona,6-3,205.0,4.62,33.0,15.0,114.0,7.04,4.32,2007,75.0,1
James Jones,WR,San Jose State,6-1,207.0,4.54,34.0,22.0,119.0,7.06,4.2,2007,73.0,0
Brian Leonard,RB,Rutgers,6-1,226.0,4.52,34.5,28.0,122.0,6.88,4.22,2007,73.0,0
Marshawn Lynch,RB,California,5-11,215.0,4.46,35.5,20.0,125.0,7.05,4.55,2007,71.0,0
Trumaine McBride,CB,Mississippi,5-9,185.0,4.57,34.5,14.0,122.0,6.96,4.32,2007,69.0,0
Marcus McCauley,CB,Fresno State,6-1,203.0,4.39,36.0,17.0,129.0,6.61,4.17,2007,73.0,0
Marquay McDaniel,WR,Kansas State,5-10,205.0,4.52,33.5,19.0,114.0,7.13,4.35,2007,70.0,0
Brandon McDonald,CB,Memphis,5-11,181.0,4.58,33.0,17.0,118.0,7.44,4.76,2007,71.0,1
Brandon Meriweather,S,Miami (FL),5-11,195.0,4.47,35.0,11.0,111.0,7.06,4.33,2007,71.0,0
Martrez Milner,TE,Georgia,6-4,252.0,4.79,34.0,19.0,117.0,7.35,4.49,2007,76.0,1
Joe Newton,TE,Oregon State,6-7,257.0,4.89,31.0,20.0,109.0,7.35,4.57,2007,79.0,1
Chad Nkang,S,Elon,5-11,220.0,4.52,36.5,23.0,118.0,7.1,4.34,2007,71.0,0
Greg Olsen,TE,Miami (FL),6-6,254.0,4.51,35.5,23.0,114.0,7.04,4.48,2007,78.0,1
Kevin Payne,S,La-Monroe,6-0,220.0,4.6,35.0,20.0,106.0,7.0,4.3,2007,72.0,1
Sabby Piscitelli,S,Oregon State,6-3,224.0,4.47,34.5,19.0,122.0,6.84,3.9,2007,75.0,0
Antonio Pittman,RB,Ohio State,5-11,207.0,4.4,35.5,16.0,123.0,6.84,4.16,2007,71.0,0
Anthony Pudewell,TE,Nevada,6-4,250.0,5.07,25.5,15.0,101.0,7.31,4.41,2007,76.0,1
Laurent Robinson,WR,Illinois State,6-2,199.0,4.38,39.0,19.0,127.0,6.83,4.28,2007,74.0,0
Dante Rosario,TE,Oregon,6-3,244.0,4.78,36.0,20.0,115.0,6.96,4.47,2007,75.0,1
Aaron Ross,CB,Texas,6-0,193.0,4.44,34.0,17.0,118.0,6.67,4.15,2007,72.0,0
Mike Sims-Walker,WR,Central Florida,6-2,209.0,4.35,36.5,18.0,121.0,6.92,4.39,2007,74.0,0
Kolby Smith,RB,Louisville,5-11,220.0,4.5,38.0,18.0,114.0,7.22,4.34,2007,71.0,0
Daren Stone,S,Maine,6-3,218.0,4.58,39.0,13.0,132.0,7.13,4.44,2007,75.0,0
Matt Trannon,WR,Michigan State,6-6,216.0,4.57,36.5,13.0,118.0,7.09,4.34,2007,78.0,1
Chad Upshaw,TE,Buffalo,6-4,252.0,4.9,33.5,16.0,108.0,7.23,4.58,2007,76.0,1
Darius Walker,RB,Notre Dame,5-10,206.0,4.55,40.5,19.0,123.0,7.18,4.39,2007,70.0,0
Eric Weddle,S,Utah,5-11,203.0,4.48,33.5,11.0,113.0,6.78,4.12,2007,71.0,0
John Wendling,S,Wyoming,6-1,222.0,4.48,38.5,22.0,129.0,6.96,4.16,2007,73.0,0
Josh Wilson,CB,Maryland,5-9,189.0,4.39,36.5,20.0,120.0,7.07,4.43,2007,69.0,0
Garrett Wolfe,RB,Northern Illinois,5-7,186.0,4.39,35.5,22.0,116.0,6.69,4.08,2007,67.0,0
Dwayne Wright,RB,Fresno State,5-11,228.0,4.66,34.0,14.0,115.0,7.23,4.43,2007,71.0,1
Eric Wright,CB,UNLV,5-11,192.0,4.36,36.5,16.0,123.0,6.93,4.23,2007,71.0,0
Danny Amendola,WR,Texas Tech,5-10,183.0,4.58,27.5,13.0,103.0,6.81,4.25,2008,70.0,0
Dominique Barber,S,Minnesota,6-0,210.0,4.68,34.0,23.0,117.0,7.08,4.34,2008,72.0,1
Gary Barnidge,TE,Louisville,6-6,243.0,4.61,31.0,22.0,117.0,6.92,4.23,2008,78.0,1
Josh Barrett,S,Arizona State,6-2,223.0,4.34,31.5,17.0,121.0,7.07,4.27,2008,74.0,0
Earl Bennett,WR,Vanderbilt,5-11,209.0,4.48,26.0,15.0,110.0,7.15,4.22,2008,71.0,1
Martellus Bennett,TE,Texas A&M,6-6,259.0,4.68,34.0,18.0,118.0,7.64,4.53,2008,78.0,1
Davone Bess,WR,Hawaii,5-10,194.0,4.64,31.5,12.0,118.0,6.97,4.27,2008,70.0,0
Adam Bishop,TE,Nevada,6-5,248.0,4.98,27.0,21.0,113.0,7.14,4.28,2008,77.0,1
Brian Bonner,S,TCU,5-11,196.0,4.61,31.0,17.0,113.0,7.21,4.43,2008,71.0,1
Zack Bowman,CB,Nebraska,6-0,197.0,4.39,30.5,18.0,122.0,7.1,4.21,2008,72.0,0
Cory Boyd,RB,South Carolina,6-0,213.0,4.52,33.5,25.0,118.0,6.97,4.24,2008,72.0,0
Mark Bradford,WR,Stanford,6-1,211.0,4.69,36.5,19.0,120.0,7.12,4.47,2008,73.0,1
Travis Brown,WR,New Mexico,6-2,202.0,4.49,30.0,13.0,120.0,7.18,4.38,2008,74.0,0
Keenan Burton,WR,Kentucky,6-0,201.0,4.44,38.5,10.0,125.0,6.77,4.2,2008,72.0,0
John Carlson,TE,Notre Dame,6-5,251.0,4.88,30.5,20.0,113.0,7.12,4.28,2008,77.0,1
Kellen Davis,TE,Michigan State,6-6,262.0,4.59,28.0,22.0,118.0,7.25,4.38,2008,78.0,1
Derek Fine,TE,Kansas,6-3,251.0,4.83,29.0,24.0,115.0,6.8,4.19,2008,75.0,1
Jermichael Finley,TE,Texas,6-4,243.0,4.82,27.5,20.0,117.0,7.15,4.38,2008,76.0,1
Wilrey Fontenot,CB,Arizona,5-9,171.0,4.4,34.0,18.0,128.0,7.29,4.26,2008,69.0,0
Matt Forte,RB,Tulane,6-1,217.0,4.44,33.0,23.0,118.0,6.84,4.23,2008,73.0,0
Pierre Garcon,WR,Mount Union,6-0,210.0,4.42,36.5,20.0,125.0,6.9,4.19,2008,72.0,0
Charles Godfrey,CB,Iowa,6-0,207.0,4.43,32.5,14.0,121.0,7.28,4.4,2008,72.0,0
Michael Grant,CB,Arkansas,5-10,186.0,4.37,30.5,14.0,116.0,7.08,4.1,2008,70.0,0
Ryan Grice-Mullen,WR,Hawaii,5-10,187.0,4.53,27.5,17.0,118.0,6.91,4.16,2008,70.0,0
Marcus Griffin,S,Texas,5-10,201.0,4.69,31.5,13.0,119.0,7.09,4.32,2008,70.0,0
James Hardy,WR,Indiana,6-5,217.0,4.45,31.5,18.0,125.0,6.84,4.2,2008,77.0,0
Joey Haynos,TE,Maryland,6-8,259.0,4.87,30.5,17.0,123.0,6.92,4.42,2008,80.0,1
Jonathan Hefney,S,Tennessee,5-8,190.0,4.52,29.0,14.0,117.0,7.1,4.44,2008,68.0,0
Chris Horton,S,UCLA,6-0,212.0,4.54,28.5,14.0,109.0,7.34,4.35,2008,72.0,1
Chevis Jackson,CB,LSU,6-0,192.0,4.52,36.0,13.0,125.0,6.96,4.15,2008,72.0,0
Darnell Jenkins,WR,Miami (FL),5-9,187.0,4.52,26.5,13.0,115.0,7.33,4.37,2008,69.0,0
Mike Jenkins,CB,South Florida,5-10,197.0,4.38,34.0,18.0,117.0,7.21,4.4,2008,70.0,0
Jaymar Johnson,WR,Jackson State,5-11,177.0,4.5,32.0,14.0,118.0,6.75,4.18,2008,71.0,0
Kolo Kapanui,TE,West Texas A&M,6-3,271.0,5.06,26.5,23.0,107.0,7.42,4.66,2008,75.0,1
Dustin Keller,TE,Purdue,6-2,242.0,4.53,38.0,26.0,131.0,6.88,4.14,2008,74.0,0
Dennis Keyes,S,UCLA,6-1,205.0,4.59,30.5,15.0,112.0,7.25,4.41,2008,73.0,1
Justin King,CB,Penn State,5-11,192.0,4.31,34.0,14.0,127.0,7.14,4.31,2008,71.0,0
Pat Lee,CB,Colorado,6-0,200.0,4.41,31.0,15.0,120.0,7.07,4.3,2008,72.0,0
Dwight Lowery,CB,San Jose State,5-11,201.0,4.54,33.5,16.0,116.0,7.31,4.38,2008,71.0,0
Mario Manningham,WR,Michigan,6-0,181.0,4.59,32.0,16.0,117.0,7.34,4.27,2008,72.0,0
Leodis McKelvin,CB,Troy,5-10,190.0,4.38,33.5,17.0,121.0,7.06,4.1,2008,70.0,0
Antwaun Molden,CB,East. Kentucky,6-1,198.0,4.39,37.5,23.0,129.0,6.85,4.14,2008,73.0,0
Marcus Monk,WR,Arkansas,6-4,222.0,4.56,34.5,9.0,119.0,7.08,4.3,2008,76.0,0
Evan Moore,TE,Stanford,6-6,233.0,4.74,27.0,16.0,110.0,7.08,4.43,2008,78.0,1
Anthony Morelli,QB,Penn State,6-4,231.0,5.07,26.5,16.0,108.0,7.43,4.6,2008,76.0,1
DaJuan Morgan,S,North Carolina State,6-0,205.0,4.5,33.0,21.0,119.0,7.12,4.41,2008,72.0,0
D.J. Parker,S,Virginia Tech,5-11,192.0,4.59,29.0,19.0,111.0,6.94,4.44,2008,71.0,1
Jalen Parmele,RB,Toledo,5-11,224.0,4.47,34.0,19.0,125.0,6.96,4.29,2008,71.0,0
Kenny Phillips,S,Miami (FL),6-2,212.0,4.48,32.5,19.0,121.0,6.97,4.27,2008,74.0,0
Billy Pittman,WR,Texas,5-11,189.0,4.7,32.5,12.0,114.0,7.04,4.4,2008,71.0,0
Tracy Porter,CB,Indiana,5-11,188.0,4.37,34.0,18.0,123.0,7.2,4.07,2008,71.0,0
Darius Reynaud,WR,West Virginia,5-9,201.0,4.48,34.5,20.0,130.0,6.88,4.32,2008,69.0,0
Ray Rice,RB,Rutgers,5-8,199.0,4.42,31.5,23.0,119.0,6.65,4.2,2008,68.0,0
David Roach,S,TCU,6-0,210.0,4.53,38.0,16.0,123.0,6.88,4.15,2008,72.0,0
Dominique Rodgers-Cromartie,CB,Tennessee State,6-1,184.0,4.29,38.5,17.0,131.0,6.74,4.17,2008,73.0,0
