Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Year,Height_in
Antwan Harris,CB,Virginia,5-9,186.0,4.34,39.0,16.0,121.0,6.75,4.01,2000,69.0
Jeff Harris,CB,Georgia,6-0,190.0,4.53,34.5,,114.0,6.73,4.25,2000,72.0
Lloyd Harrison,CB,North Carolina State,5-10,190.0,4.5,37.5,16.0,119.0,7.12,4.25,2000,70.0
Windrell Hayes,WR,USC,5-11,204.0,4.5,,,,7.33,4.18,2000,71.0
Leroy Hodge,WR,Texas A&M,6-1,215.0,4.54,34.5,,116.0,7.14,4.21,2000,73.0
Ethan Howell,CB,Oklahoma State,5-11,186.0,4.56,,16.0,,6.98,4.13,2000,71.0
Todd Husak,QB,Stanford,6-3,216.0,5.2,27.5,,99.0,7.17,4.41,2000,75.0
Jarious Jackson,QB,Notre Dame,6-0,226.0,4.68,,,109.0,,,2000,72.0
Marlion Jackson,RB,Saginaw Valley State,6-1,242.0,4.6,35.5,24.0,125.0,7.15,4.14,2000,73.0
Ronney Jenkins,RB,Northern Arizona,5-10,184.0,4.5,,18.0,118.0,,,2000,70.0
Brandon Jennings,S,Texas A&M,6-0,198.0,4.51,38.0,16.0,123.0,6.91,4.14,2000,72.0
Doug Johnson,QB,Florida,6-2,226.0,4.95,29.5,,96.0,,,2000,74.0
Eric Johnson,S,Yale,6-0,215.0,4.6,38.0,12.0,121.0,6.96,4.17,2000,72.0
John Jones,TE,Pittsburgh,6-4,248.0,4.63,38.5,13.0,125.0,7.33,4.43,2000,76.0
Morgan Kane,RB,Wake Forest,6-1,221.0,4.62,37.5,29.0,121.0,6.81,4.16,2000,73.0
Curtis Keaton,RB,West Virginia,5-10,214.0,4.41,41.5,23.0,131.0,6.82,3.93,2000,70.0
Tinker Keck,S,Cincinnati,6-1,200.0,4.55,36.5,15.0,120.0,6.96,4.31,2000,73.0
Ben Kelly,CB,Colorado,5-9,183.0,4.53,36.0,17.0,116.0,6.63,3.95,2000,69.0
Kenoy Kennedy,S,Arkansas,6-1,221.0,4.71,33.5,8.0,113.0,7.08,4.38,2000,73.0
Sean Key,S,Florida State,5-11,188.0,4.65,,,,7.12,4.2,2000,71.0
Marcus Knight,WR,Michigan,6-1,180.0,4.72,28.5,,106.0,7.11,4.38,2000,73.0
Kareem Larrimore,CB,West Texas A&M,5-11,190.0,4.42,34.0,,125.0,,,2000,71.0
Charles Lee,WR,Central Florida,6-1,202.0,4.56,35.5,,125.0,7.3,4.25,2000,73.0
Tim Lester,QB,West. Michigan,6-0,202.0,5.02,27.0,,97.0,7.28,4.24,2000,72.0
Jamal Lewis,RB,Tennessee,6-0,240.0,4.58,,23.0,,,,2000,72.0
Anthony Lucas,WR,Arkansas,6-3,194.0,4.53,35.0,,121.0,,,2000,75.0
Alton Lusk,WR,Central Oklahoma,6-2,182.0,4.61,36.5,,122.0,7.16,4.26,2000,74.0
David Macklin,CB,Penn State,5-9,194.0,4.54,37.5,,120.0,6.9,4.09,2000,69.0
Anthony Malbrough,CB,Texas Tech,5-9,184.0,4.44,35.5,20.0,117.0,6.73,4.0,2000,69.0
Tee Martin,QB,Tennessee,6-2,227.0,4.58,34.5,,113.0,,,2000,74.0
Terrence McCaskey,TE,Mississippi State,6-5,271.0,5.0,29.0,,101.0,,,2000,77.0
Kevin McDougal,RB,Colorado State,5-11,206.0,4.63,32.0,,108.0,7.08,4.12,2000,71.0
Rondell Mealey,RB,LSU,6-0,212.0,4.69,33.0,,120.0,6.89,4.15,2000,72.0
Wendell Montgomery,WR,Wyoming,6-3,203.0,4.81,35.5,,117.0,7.01,4.24,2000,75.0
Scottie Montgomery,WR,Duke,6-0,196.0,4.57,36.0,,117.0,7.16,4.11,2000,72.0
Muneer Moore,WR,Richmond,6-1,201.0,4.52,37.5,,129.0,6.91,4.09,2000,73.0
Frank Moreau,RB,Louisville,6-1,231.0,4.57,36.0,23.0,117.0,,,2000,73.0
Aric Morris,S,Michigan State,5-9,211.0,4.56,,24.0,,,,2000,69.0
Sylvester Morris,WR,Jackson State,6-3,216.0,4.6,34.5,,119.0,7.06,4.17,2000,75.0
Chad Morton,RB,USC,5-8,182.0,4.5,36.0,18.0,121.0,,,2000,68.0
Bobby Myers,S,Wisconsin,6-1,183.0,4.56,37.5,,123.0,7.04,4.1,2000,73.0
Dennis Northcutt,WR,Arizona,5-10,175.0,4.43,37.5,,123.0,6.96,4.04,2000,70.0
Carlos Nuno,TE,BYU,6-4,263.0,5.03,28.0,23.0,106.0,,,2000,76.0
Erik Olson,S,Colorado State,6-1,208.0,4.63,35.0,17.0,115.0,6.81,4.21,2000,73.0
Chad Pennington,QB,Marshall,6-3,229.0,4.81,33.5,,111.0,7.12,4.16,2000,75.0
Cory Peterson,WR,Mississippi,6-2,195.0,4.75,32.5,,114.0,,,2000,74.0
Mareno Philyaw,WR,Troy,6-2,205.0,4.66,39.5,,129.0,6.93,4.13,2000,74.0
Hank Poteat,CB,Pittsburgh,5-10,197.0,4.57,37.0,16.0,126.0,6.66,4.0,2000,70.0
Travis Prentice,RB,Miami (OH),6-0,225.0,4.5,37.0,23.0,115.0,6.92,4.4,2000,72.0
Tim Rattay,QB,Louisiana Tech,6-0,215.0,4.91,25.5,,100.0,7.34,4.21,2000,72.0
Chris Redman,QB,Louisville,6-3,222.0,5.37,26.5,,98.0,7.8,4.78,2000,75.0
J.R. Redmond,RB,Arizona State,5-11,216.0,4.48,32.5,,121.0,,,2000,71.0
Phillip Rogers,RB,Georgia Tech,6-1,232.0,4.68,37.0,19.0,124.0,7.21,4.31,2000,73.0
Lewis Sanders,CB,Maryland,6-0,202.0,4.5,37.0,10.0,116.0,,,2000,72.0
Ketric Sanford,RB,Houston,5-7,199.0,4.6,32.0,12.0,118.0,6.63,4.3,2000,67.0
Gari Scott,WR,Michigan State,6-0,194.0,4.59,33.5,,119.0,,,2000,72.0
Tony Scott,CB,North Carolina State,5-10,193.0,4.5,34.0,11.0,116.0,7.45,4.24,2000,70.0
Jacoby Shepherd,CB,Oklahoma State,6-1,195.0,4.53,35.0,5.0,120.0,,,2000,73.0
Kofi Shuck,WR,Wyoming,6-2,180.0,4.66,33.0,,119.0,7.18,4.1,2000,74.0
Dwyte Smiley,S,Youngstown State,6-1,198.0,4.57,35.0,13.0,115.0,7.18,4.29,2000,73.0
R. Jay Soward,WR,USC,5-9,177.0,4.34,35.0,,124.0,,,2000,69.0
Rashon Spikes,RB,Boise State,5-10,204.0,4.78,33.0,13.0,113.0,7.18,4.47,2000,70.0
Quinton Spotwood,WR,Syracuse,5-11,184.0,4.55,33.5,,123.0,,,2000,71.0
Dave Stachelski,TE,Boise State,6-3,250.0,4.78,38.0,24.0,115.0,6.84,4.14,2000,75.0
Shyrone Stith,RB,Virginia Tech,5-7,204.0,4.6,35.0,13.0,111.0,7.14,4.14,2000,67.0
Jay Tant,TE,Northwestern,6-3,255.0,4.75,,31.0,,,,2000,75.0
Travis Taylor,WR,Florida,6-1,199.0,4.43,37.0,,118.0,7.15,,2000,73.0
Travares Tillman,S,Georgia Tech,6-1,194.0,4.6,37.5,15.0,123.0,6.95,4.29,2000,73.0
Darrick Vaughn,CB,Texas State,5-11,196.0,4.53,36.5,14.0,121.0,7.09,4.16,2000,71.0
Troy Walters,WR,Stanford,5-6,171.0,4.55,32.5,,106.0,6.61,3.84,2000,66.0
Jason Webster,CB,Texas A&M,5-9,180.0,4.42,35.5,17.0,122.0,6.76,3.98,2000,69.0
James Whalen,TE,Kentucky,6-2,228.0,4.78,31.0,,110.0,7.42,4.22,2000,74.0
Austin Wheatley,TE,Iowa,6-4,254.0,4.66,32.5,,121.0,6.97,4.18,2000,76.0
Damen Wheeler,CB,Colorado,5-9,179.0,4.51,35.0,11.0,115.0,7.21,4.27,2000,69.0
Anthony White,RB,Kentucky,6-0,195.0,4.68,32.5,,118.0,7.05,4.24,2000,72.0
Jerard White,CB,Massachusetts,6-1,213.0,4.61,38.5,14.0,118.0,6.96,4.53,2000,73.0
